estmtd_rsdnt_ppltn_smmry_sttstcs_30_jne_prsns_ttl_nm, lga_name_2019, yr, lga_code_2019
79,Sandstone ,2019,57630
221040,Stirling ,2019,57910
147353,Swan ,2019,58050
398,Tammin ,2019,58190
573,Three Springs ,2019,58260
17251,Subiaco ,2019,57980
36962,Victoria Park ,2019,58510
1786,Wagin ,2019,58610
2130,Central Highlands  (Tas.),2019,61010
4458,Toodyay ,2019,58330
424,Wandering ,2019,58680
208237,Wanneroo ,2019,58760
352,Trayning ,2019,58400
4212,Waroona ,2019,58820
780,West Arthur ,2019,58890
285,Upper Gascoyne ,2019,58470
684,Wiluna ,2019,59250
914,Victoria Plains ,2019,58540
430,Woodanilling ,2019,59320
36561,Vincent ,2019,58570
492,Wyalkatchem ,2019,59330
7338,Wyndham-East Kimberley ,2019,59340
306,Westonia ,2019,59030
356,Yalgoo ,2019,59350
3575,York ,2019,59370
714,Wickepin ,2019,59100
4643,Unincorp. Other Territories,2019,99399
6288,Break O'Day ,2019,60210
17675,Brighton ,2019,60410
1010,Williams ,2019,59170
1288,Wongan-Ballidu ,2019,59310
19550,Burnie ,2019,60610
1163,Yilgarn ,2019,59360
21938,Central Coast  (Tas.),2019,60810
8078,Circular Head ,2019,61210
57807,Clarence ,2019,61410
10424,Derwent Valley ,2019,61510
25633,Devonport ,2019,61610
6634,Dorset ,2019,61810
1010,Flinders  (Tas.),2019,62010
6968,George Town ,2019,62210
4602,Glamorgan/Spring Bay ,2019,62410
47969,Glenorchy ,2019,62610
238834,Hobart ,2019,62810
17561,Huon Valley ,2019,63010
6315,Kentish ,2019,63210
1610,King Island ,2019,63410
38310,Kingborough ,2019,63610
11638,Latrobe  (Tas.),2019,63810
68007,Launceston ,2019,64010
19844,Meander Valley ,2019,64210
13437,Northern Midlands ,2019,64610
15603,Sorell ,2019,64810
2414,Tasman ,2019,65210
6290,Southern Midlands ,2019,65010
13828,Waratah/Wynyard ,2019,65410
4175,West Coast ,2019,65610
24070,West Tamar ,2019,65810
26390,Alice Springs ,2019,70200
175,Belyuen ,2019,70540
7369,Barkly ,2019,70420
4231,Central Desert ,2019,70620
1370,Coomalie ,2019,70700
147231,Darwin ,2019,71000
10344,East Arnhem ,2019,71300
10623,Katherine ,2019,72200
25561,Litchfield ,2019,72300
6917,MacDonnell ,2019,72330
7428,Roper Gulf ,2019,73600
2741,Tiwi Islands ,2019,74050
3155,Victoria Daly ,2019,74550
6881,West Arnhem ,2019,74660
38270,Palmerston ,2019,72800
519,Wagait ,2019,74560
3693,West Daly ,2019,74680
7376,Unincorporated NT,2019,79399
426704,Unincorporated ACT,2019,89399
